teac,stu
2,"['11', '92', '141', '169', '174', '9', '41']"
7,"['18', '80', '143', '149', '171', '14', '23']"
21,"['7', '17', '33', '62', '88', '95', '140']"
29,"['85', '93', '100', '123', '175', '30', '46']"
23,"['13', '117', '159', '24', '42', '57', '82']"
17,"['125', '51', '114', '77', '102', '110', '154']"
22,"['78', '172', '2', '132', '153', '163', '15']"
3,"['161', '6', '65', '67', '69', '70']"
9,"['72', '86', '103', '28', '138', '3']"
16,"['81', '104', '155', '34', '98', '147']"
28,"['55', '64', '75', '94', '97']"
11,"['26', '150', '27', '99', '122']"
8,"['60', '66', '76', '84', '131']"
18,"['124', '87', '157', '32', '71']"
32,"['130', '162', '5', '50', '63']"
34,"['151', '166', '167', '36', '35']"
25,"['148', '10', '43', '48', '113']"
26,"['74', '107', '120', '121', '145']"
13,"['79', '144', '146', '158']"
10,"['83', '152', '156', '173']"
12,"['118', '137', '128', '40']"
33,"['38', '58', '89', '91']"
1,"['108', '109', '135', '22']"
5,"['111', '136', '142', '59']"
6,"['45', '160', '4', '47']"
19,"['37', '12', '39', '56']"
31,"['101', '8', '49', '119']"
35,"['29', '54', '61', '115']"
14,"['21', '25', '90', '96']"
15,"['139', '44', '126', '129']"
20,"['53', '116', '170', '31']"
30,"['165', '20', '164', '1']"
4,"['106', '112', '52', '16']"
24,"['73', '133', '19', '105']"
27,"['68', '127', '134', '168']"
