企业代号,进项有效发票占比,进项作废发票占比,进项负数发票占比,进项次数,进项平均每次金额,销项有效发票占比,销项作废发票占比,销项负数发票占比,销项次数,销项平均每次金额
E218,0.9257246376811594,0.07065217391304347,0.0036231884057971015,1104,40180.88033514493,0.5905172413793104,0.40948275862068967,0.0,232,213023.45637931034
E222,0.9137856525496975,0.06547104580812446,0.020743301642178046,4628,13468.376931719966,0.7245639534883721,0.2565406976744186,0.0188953488372093,1376,54877.24293604651
E237,0.9272070211667527,0.019101703665462055,0.053691275167785234,1937,11783.599834796078,0.7491525423728813,0.25084745762711863,0.0,295,80732.95142372881
E259,0.9337936636880585,0.05727051177904143,0.008935824532900082,2462,8363.974890333062,0.8447432762836186,0.1356968215158924,0.019559902200488997,818,43411.42039119804
E276,0.9817307692307692,0.01730769230769231,0.0009615384615384616,1040,4413.664759615384,0.7594339622641509,0.2028301886792453,0.03773584905660377,212,67812.69056603772
E282,0.9220125786163522,0.05408805031446541,0.02389937106918239,795,16481.344201257863,0.715971966064183,0.2773884175580966,0.0066396163777203985,2711,8246.333880486905
E285,0.9404145077720207,0.054404145077720206,0.0051813471502590676,772,24093.80593264249,0.799645390070922,0.1879432624113475,0.012411347517730497,564,61536.43640070921
E291,0.9236641221374046,0.05343511450381679,0.022900763358778626,393,46427.76867684478,0.7839506172839507,0.2037037037037037,0.012345679012345678,162,73066.45475308642
E303,0.9826839826839827,0.015873015873015872,0.001443001443001443,693,4071.7819480519474,0.8722222222222222,0.125,0.002777777777777778,360,46682.36172222222
E308,0.9299610894941635,0.05252918287937743,0.017509727626459144,514,16874.64525291829,0.7950372208436725,0.19950372208436726,0.005459057071960298,2015,6555.4999652605475
E335,0.9817767653758542,0.018223234624145785,0.0,439,8312.654555808656,0.8,0.2,0.0,340,17438.833382352943
E347,0.9770114942528736,0.022988505747126436,0.0,87,11264.747471264367,0.8095238095238095,0.19047619047619047,0.0,210,10525.980666666666
E361,0.9827586206896551,0.017241379310344827,0.0,174,19309.456149425285,0.7627118644067796,0.23728813559322035,0.0,118,46808.968644067805
E367,0.92,0.08,0.0,25,10319.8672,0.8744186046511628,0.07906976744186046,0.046511627906976744,215,10821.74976744186
E379,0.9506493506493506,0.04155844155844156,0.007792207792207792,385,3732.838753246753,0.6485355648535565,0.3514644351464435,0.0,239,10949.178535564855
E394,0.9600725952813067,0.032667876588021776,0.007259528130671506,551,1599.7947368421055,0.26582278481012656,0.7341772151898734,0.0,79,29922.723670886076
E395,0.948905109489051,0.029197080291970802,0.021897810218978103,137,1808.155401459854,0.6546762589928058,0.3237410071942446,0.02158273381294964,139,21639.97474820144
E397,1.0,0.0,0.0,19,20201.794736842105,0.7213114754098361,0.2786885245901639,0.0,183,4426.735136612022
E401,1.0,0.0,0.0,28,5905.589285714285,0.5064935064935064,0.4935064935064935,0.0,77,6644.986493506493
E405,0.9444444444444444,0.05555555555555555,0.0,18,5311.456666666666,0.5555555555555556,0.4444444444444444,0.0,45,13147.270444444446
