企业代号,进项有效发票占比,进项作废发票占比,进项负数发票占比,进项次数,进项平均每次金额,销项有效发票占比,销项作废发票占比,销项负数发票占比,销项次数,销项平均每次金额
E13,0.9812161259187765,0.01588833617937486,0.0028955379018486896,13469,7286.517954562328,0.8413491567770144,0.1495315427857589,0.009119300437226733,8005,30438.79976764522
E32,0.9925690021231423,0.005307855626326964,0.0021231422505307855,2826,865.0853821656051,0.8442028985507246,0.15217391304347827,0.0036231884057971015,552,86053.9767210145
E34,0.8778692074491121,0.10307492420961455,0.019055868341273277,2309,27030.856695539198,0.8387553041018387,0.157001414427157,0.004243281471004243,707,135224.71884016972
E40,0.9637865311308768,0.025412960609911054,0.010800508259212199,3148,1475.7706607369755,0.8584371460928653,0.09399773499433749,0.04756511891279728,883,42922.276330690824
E52,0.9576470588235294,0.03764705882352941,0.004705882352941176,425,40027.32096470588,0.741424802110818,0.24538258575197888,0.013192612137203167,379,58397.86255936675
E53,0.9492063492063492,0.049206349206349205,0.0015873015873015873,630,55246.716571428566,0.8634361233480177,0.1277533039647577,0.00881057268722467,454,89128.26671806168
E55,0.8772782503037667,0.08626974483596597,0.03645200486026731,823,14699.980558930742,0.6322033898305085,0.24915254237288137,0.11864406779661017,590,56001.41669491526
E72,0.9572649572649573,0.02564102564102564,0.017094017094017096,117,15806.38504273504,0.7096774193548387,0.2903225806451613,0.0,248,17851.084032258063
E90,0.9712230215827338,0.02877697841726619,0.0,139,5470.047410071944,0.6934865900383141,0.2835249042145594,0.022988505747126436,261,17918.770459770116
E102,0.963013698630137,0.0273972602739726,0.009589041095890411,730,4439.751506849315,0.8361581920903954,0.14689265536723164,0.01694915254237288,177,2429.9864971751413
E107,1.0,0.0,0.0,9,11626.375555555554,0.6296296296296297,0.37037037037037035,0.0,54,16413.34574074074
E111,0.935251798561151,0.050359712230215826,0.014388489208633094,278,3073.263417266187,0.704,0.184,0.112,250,13516.770159999998
E119,0.9936507936507937,0.0031746031746031746,0.0031746031746031746,315,697.862380952381,0.8571428571428571,0.14285714285714285,0.0,21,1721.7761904761903
E120,0.9722222222222222,0.027777777777777776,0.0,36,784.9186111111112,0.3103448275862069,0.6896551724137931,0.0,29,6574.9382758620695
E121,0.98,0.0,0.02,50,21515.0066,0.8763440860215054,0.12365591397849462,0.0,186,562.614623655914
E123,1.0,0.0,0.0,3,264.15,0.5076923076923077,0.49230769230769234,0.0,65,3641.680923076923
