企业代号,进项有效发票占比,进项作废发票占比,进项负数发票占比,进项次数,进项平均每次金额,销项有效发票占比,销项作废发票占比,销项负数发票占比,销项次数,销项平均每次金额
E124,0.8570443972201481,0.12331284819941417,0.019642754580437655,17411,54142.24081902245,0.8182521268368136,0.1500386697602475,0.0317092034029389,1293,711974.272420727
E125,0.8566640378548895,0.12381703470031545,0.019518927444794953,20288,55247.173666699535,0.838871473354232,0.13479623824451412,0.026332288401253918,1595,710152.7793479624
E126,0.9606003752345216,0.03377110694183865,0.005628517823639775,533,220320.1013883677,0.8126649076517151,0.1662269129287599,0.021108179419525065,1516,426185.825560686
E127,0.9806896551724138,0.01793103448275862,0.001379310344827586,1450,1195.5620000000001,0.9687034277198212,0.030303030303030304,0.0009935419771485345,4026,173413.38732488823
E128,0.968032278088144,0.027312228429546864,0.004655493482309125,3222,3315.2439571694604,0.9250996015936255,0.0749003984063745,0.0,1255,203731.37088446214
E129,0.9325007903888713,0.06291495415744547,0.004584255453683212,6326,14982.044764464117,0.875881038335912,0.10933470861268695,0.014784253051401066,5817,64366.670366168124
E130,0.9550907413103661,0.03937250076899416,0.005536757920639803,3251,24763.228455859735,0.9406657018813314,0.04413892908827786,0.015195369030390739,1382,84725.50697539796
E131,0.903914087890349,0.07771654655927653,0.018369365550374453,7077,17694.09812915077,0.9157673860911271,0.07164268585131894,0.012589928057553957,3336,69357.22583033574
E132,0.9769335142469471,0.021128125605737545,0.0019383601473153711,5159,13375.100738515217,0.9182424916573971,0.07730812013348165,0.004449388209121246,1798,125654.64468854283
E133,0.9708206686930091,0.02796352583586626,0.0012158054711246201,1645,25124.248006079026,0.8058823529411765,0.17647058823529413,0.01764705882352941,170,838171.1345294118
E134,0.9775811209439528,0.018289085545722714,0.004129793510324484,1695,2404.579646017699,0.9045602605863192,0.07654723127035831,0.018892508143322474,3070,43882.72168078176
E135,0.9830508474576272,0.015219647180906262,0.0017295053614666206,2891,8948.419539951574,0.8547215496368039,0.11138014527845036,0.03389830508474576,413,399597.0427845036
E136,0.9976708074534162,0.0015527950310559005,0.0007763975155279503,1288,89068.48576086956,0.9446494464944649,0.05239852398523985,0.002952029520295203,1355,91535.29986715867
E137,0.9460530326120086,0.04266991770801585,0.011277049679975617,3281,36179.70350807681,0.8858267716535433,0.09055118110236221,0.023622047244094488,254,640353.5527952757
E138,0.9365384615384615,0.015384615384615385,0.04807692307692308,520,40612.41390384616,0.9564343163538874,0.035522788203753354,0.00804289544235925,1492,74959.38018766757
E139,0.9639830508474576,0.03177966101694915,0.00423728813559322,472,3553.4451271186445,0.9496958352831072,0.04780845421931056,0.0024957104975822804,12822,16032.192064420527
E140,0.9672131147540983,0.02459016393442623,0.00819672131147541,2074,3977.1402892960464,0.8331360946745562,0.1408284023668639,0.02603550295857988,845,271143.1411952663
E141,0.9582448690728945,0.039631988676574664,0.0021231422505307855,1413,28955.596157112526,0.910126582278481,0.05949367088607595,0.030379746835443037,4740,36278.387419831226
E142,0.953232462173315,0.03163686382393398,0.015130674002751032,727,71100.48563961485,0.9186991869918699,0.07317073170731707,0.006775067750677507,1476,70527.03058265582
E143,0.9520732364028002,0.036348949919224556,0.011577813677975229,3714,9372.072374798061,0.9373913043478261,0.04434782608695652,0.018260869565217393,1150,83733.82003478262
E144,0.9778046811945117,0.01775625504439064,0.00443906376109766,2478,3684.869568200161,0.8727941176470588,0.08455882352941177,0.04264705882352941,1360,87945.78685294116
E145,0.9698795180722891,0.024096385542168676,0.006024096385542169,2988,38758.74490629183,0.8812924373682979,0.09974244907515804,0.018730976352142357,4271,31295.733589323343
E146,0.9729230769230769,0.024615384615384615,0.0024615384615384616,3250,41378.81256307692,0.858560794044665,0.12158808933002481,0.019851116625310174,1612,94755.96859181141
E147,0.9248873309964948,0.06476381238524453,0.010348856618260724,5991,26439.83004172926,0.9658371994938845,0.024040489245044285,0.010122311261071278,2371,81400.66862927035
E148,0.9322344322344323,0.0641025641025641,0.003663003663003663,546,56572.61483516484,0.9572953736654805,0.03914590747330961,0.0035587188612099642,281,303311.6754092527
E149,0.9726962457337884,0.027303754266211604,0.0,293,1963.722627986348,0.9094616639477977,0.06443719412724307,0.026101141924959218,1226,90540.15267536705
E150,0.9624149156555194,0.0328499556081681,0.004735128736312519,3379,25572.944214264575,0.8814655172413793,0.11637931034482758,0.0021551724137931034,464,271015.91
E151,0.9737827715355806,0.024968789013732832,0.0012484394506866417,801,14471.844831460676,0.9459459459459459,0.05405405405405406,0.0,148,731769.0195270269
